period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2025-Q1,LA,Louisiana,ALL,all sectors,2471698,9.02,2088.13702,23140.46956,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MA,Massachusetts,ALL,all sectors,3313570,25.79,3376.38351,13090.18435,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MAT,Middle Atlantic,ALL,all sectors,19210606,17.29,15870.73908,91802.40499,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MD,Maryland,ALL,all sectors,2727149,16.2,2566.93948,15843.57365,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,ME,Maine,ALL,all sectors,861605,22.63,692.50473,3059.69801,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MI,Michigan,ALL,all sectors,5112446,14.22,3479.75929,24463.66231,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MN,Minnesota,ALL,all sectors,2926683,12.12,2040.82415,16842.59733,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MO,Missouri,ALL,all sectors,3273417,10.15,2083.6516,20523.30531,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MS,Mississippi,ALL,all sectors,1597193,11.23,1337.14178,11911.37227,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MT,Montana,ALL,all sectors,716659,10.19,442.05503,4338.77078,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,MTN,Mountain,ALL,all sectors,12514303,10.83,7698.54899,71063.78716,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,NC,North Carolina,ALL,all sectors,5874988,11.57,4114.5262,35553.69806,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,ND,North Dakota,ALL,all sectors,487253,7.96,649.20615,8160.41087,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,NE,Nebraska,ALL,all sectors,1144327,9,833.35704,9261.19621,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,NEW,New England,ALL,all sectors,7573375,25.36,7413.99422,29233.61119,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,NH,New Hampshire,ALL,all sectors,771234,21.29,621.05018,2917.34166,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,NJ,New Jersey,ALL,all sectors,4299463,16.9,2979.01182,17628.08918,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q1,NM,New Mexico,ALL,all sectors,1073580,9.36,681.11676,7273.02118,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
